"estimate","lower","upper","onset_date","n.reported"
3,3,3,2020-04-18,3
2,2,3,2020-04-19,2
2,2,3,2020-04-20,2
0,0,1,2020-04-21,NA
1,1,2,2020-04-22,1
1,1,2,2020-04-23,1
3,3,5,2020-04-24,3
2,2,4,2020-04-25,2
3,3,5,2020-04-26,3
3,3,5,2020-04-27,3
0,0,2,2020-04-28,NA
4,4,6,2020-04-29,4
3,3,5,2020-04-30,3
1,1,3,2020-05-01,1
2,2,4,2020-05-02,2
3,3,5,2020-05-03,3
2,2,5,2020-05-04,2
1,1,4,2020-05-05,1
3,3,6,2020-05-06,3
1,1,4,2020-05-07,1
2,2,5,2020-05-08,2
6,5,8,2020-05-09,5
4,3,7,2020-05-10,3
4,3,7,2020-05-11,3
1,0,4,2020-05-12,NA
4,3,7,2020-05-13,3
3,2,7,2020-05-14,2
1,0,5,2020-05-15,NA
5,3,8,2020-05-16,3
2,0,6,2020-05-17,NA
2,0,6,2020-05-18,NA
2,0,6,2020-05-19,NA
3,1,8,2020-05-20,1
3,1,8,2020-05-21,1
3,0,7,2020-05-22,NA
3,0,8,2020-05-23,NA
3,0,8,2020-05-24,NA
3,0,8,2020-05-25,NA
3,0,8,2020-05-26,NA
3,0,8,2020-05-27,NA
