"dt_notific","n.notific"
2020-01-02,1
2020-01-06,1
2020-01-07,1
2020-01-09,2
2020-01-10,2
2020-01-13,3
2020-01-14,1
2020-01-16,1
2020-01-17,1
2020-01-20,3
2020-01-21,4
2020-01-22,2
2020-01-24,2
2020-01-27,3
2020-01-28,2
2020-01-29,1
2020-01-30,2
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-10,4
2020-02-11,3
2020-02-14,1
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,1
2020-02-23,2
2020-02-24,4
2020-02-25,2
2020-02-26,4
2020-02-27,2
2020-02-28,4
2020-02-29,1
2020-03-01,1
2020-03-02,5
2020-03-03,1
2020-03-04,3
2020-03-05,7
2020-03-06,2
2020-03-09,5
2020-03-10,6
2020-03-11,4
2020-03-12,6
2020-03-13,4
2020-03-14,2
2020-03-15,5
2020-03-16,7
2020-03-17,12
2020-03-18,7
2020-03-19,6
2020-03-20,19
2020-03-21,16
2020-03-22,12
2020-03-23,25
2020-03-24,29
2020-03-25,27
2020-03-26,22
2020-03-27,36
2020-03-28,21
2020-03-29,22
2020-03-30,29
2020-03-31,38
2020-04-01,23
2020-04-02,24
2020-04-03,31
2020-04-04,19
2020-04-05,28
2020-04-06,48
2020-04-07,26
2020-04-08,78
2020-04-09,45
2020-04-10,44
2020-04-11,46
2020-04-12,51
2020-04-13,79
2020-04-14,92
2020-04-15,75
2020-04-16,73
2020-04-17,67
2020-04-18,79
2020-04-19,48
2020-04-20,117
2020-04-21,66
2020-04-22,101
2020-04-23,128
2020-04-24,134
2020-04-25,98
2020-04-26,89
2020-04-27,154
2020-04-28,140
2020-04-29,98
2020-04-30,118
2020-05-01,83
2020-05-02,89
2020-05-03,105
2020-05-04,138
2020-05-05,135
2020-05-06,124
2020-05-07,138
2020-05-08,151
2020-05-09,71
2020-05-10,80
2020-05-11,188
2020-05-12,164
2020-05-13,129
2020-05-14,118
2020-05-15,104
2020-05-16,52
2020-05-17,65
2020-05-18,131
2020-05-19,131
2020-05-20,145
2020-05-21,137
2020-05-22,113
2020-05-23,75
2020-05-24,73
2020-05-25,142
2020-05-26,123
2020-05-27,76
2020-05-28,82
2020-05-29,103
2020-05-30,65
2020-05-31,51
2020-06-01,89
2020-06-02,82
2020-06-03,84
2020-06-04,69
2020-06-05,37
2020-06-06,19
2020-06-07,29
2020-06-08,58
2020-06-09,55
2020-06-10,35
2020-06-11,33
2020-06-12,30
2020-06-13,11
2020-06-14,10
2020-06-15,32
2020-06-16,26
2020-06-17,37
2020-06-18,33
2020-06-19,23
2020-06-20,9
2020-06-21,8
2020-06-22,17
2020-06-23,13
2020-06-24,12
2020-06-25,8
2020-06-26,10
2020-06-27,4
2020-06-28,2
2020-06-29,3
2020-06-30,1
